PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-05-12,12:02:14.48,1,1,"Holzemer, Hunter",824240,Left,SAN_DON,"Peraza, Angelo",813658,Right,SAN_TOR,Undefined,1,Top,0,0,0,Fastball,Cutter,InPlay,Undefined,GroundBall,Out,1,0,,88.59495,-0.775249,2.088234,2272.003106,139.977449,10:45,5.20124,-1.96272,5.55144,-27.92553,8.17107,-5.89634,2.14918,-0.50193,81.01997,-5.933174,1.036877,0.432419,91.19132,-0.321738,-14.996526,2645.424829,,,,39.22286,39.22286,-14.64617,0.297082,3.58662,4.68394,1.78612,50,5.11572,-4.43398,-128.57235,-2.73484,5.99622,26.96779,-24.34329,SAN_DON,SAN_TOR,BenedettiDiamond,D1,WCC,20240512-BenedettiDiamond-1,2575c700-1092-11ef-a4e2-cf60cac7793a,87.1665,2.18084,,7.57498,,,,1.30225,2.18084,0.50822,59fa8f84-694c-4bc2-b77d-5a9263a18a4b,2024-05-12,19:02:14.48,2024-05-12T12:02:14.4870000-07:00,2024-05-12T19:02:14.4870000Z,GroundBall,v3,471434,5320,12 May 2024 15:00-sandiego@sanfran,"Campagna, Michael",1000013092,Right,SAN_DON,554523d0-7707-4ac2-a98d-3f938215b920,54.94759,-129.60594,13.48389,5.20266,-1.80184,-12.17164,1.96047,-4.66379,2.99811,46.041968,1.30546,129.04621,-19.23306,,,,,,,2.18458,-0.91875,-21.70072,,,,,,,0.50957,-34.66848,-1.46114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2024-05-12,12:02:49.13,2,1,"Holzemer, Hunter",824240,Left,SAN_DON,"Armas, Ariel",1000114054,Right,SAN_TOR,Undefined,1,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.64317,0.668979,0.579353,2254.372889,127.989097,10:15,5.23437,-2.12981,5.43855,-27.5547,8.66524,-9.61217,3.56463,-2.3883,80.7974,-4.430004,-1.131495,0.433157,,,,,,,,,,,,4.96473,4.53185,2.08524,50,5.27476,-0.86482,-128.65002,0.50347,8.30542,27.14422,-24.59281,SAN_DON,SAN_TOR,BenedettiDiamond,D1,WCC,20240512-BenedettiDiamond-1,3a16ff30-1092-11ef-a4e2-cf60cac7793a,87.01795,,,7.84577,,,,,,,59fa8f84-694c-4bc2-b77d-5a9263a18a4b,2024-05-12,19:02:49.13,2024-05-12T12:02:49.1360000-07:00,2024-05-12T19:02:49.1360000Z,,v3,471434,5320,12 May 2024 15:00-sandiego@sanfran,"Campagna, Michael",1000013092,Right,SAN_DON,f60ada48-d7dd-4038-913e-95425545ee0b,55.05817,-129.71287,13.57211,5.2362,1.46642,-12.2964,2.12547,-1.19003,4.15271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-05-12,12:03:03.47,2,2,"Holzemer, Hunter",824240,Left,SAN_DON,"Armas, Ariel",1000114054,Right,SAN_TOR,Undefined,1,Top,1,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.53408,0.095875,2.945316,2376.835455,143.344744,10:45,5.39889,-1.8511,5.28828,-27.70848,9.05666,-5.81737,3.18,0.43226,80.35292,-5.021144,1.914779,0.436405,,,,,,,,,,,,3.79095,4.86449,1.58706,50,5.38765,-6.33605,-128.25893,-0.80183,6.27221,28.20004,-24.12565,SAN_DON,SAN_TOR,BenedettiDiamond,D1,WCC,20240512-BenedettiDiamond-1,42b236a0-1092-11ef-a4e2-cf60cac7793a,86.3704,,,8.18116,,,,,,,59fa8f84-694c-4bc2-b77d-5a9263a18a4b,2024-05-12,19:03:03.47,2024-05-12T12:03:03.4790000-07:00,2024-05-12T19:03:03.4790000Z,,v3,471434,5320,12 May 2024 15:00-sandiego@sanfran,"Campagna, Michael",1000013092,Right,SAN_DON,c647fa57-fcd0-4cbb-befb-189681158be7,55.20906,-129.39916,14.10002,5.40035,0.17366,-12.06283,1.84838,-6.58966,3.13611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-05-12,12:03:25.34,2,3,"Holzemer, Hunter",824240,Left,SAN_DON,"Armas, Ariel",1000114054,Right,SAN_TOR,Undefined,1,Top,1,1,1,Fastball,Sinker,InPlay,Undefined,GroundBall,Single,0,0,,90.59862,-1.332329,2.152105,2355.752079,123.722047,10:00,5.31366,-1.77508,5.42001,-25.87218,9.2191,-11.94402,1.90852,-0.75355,81.93421,-6.129093,0.026934,0.426355,88.58109,-38.586279,-2.413041,,,,,3.52939,3.52939,10.685755,0.023118,6.68926,5.41516,1.59257,50,5.17758,-4.38672,-131.26127,-4.00092,11.52404,31.04019,-22.84494,SAN_DON,SAN_TOR,BenedettiDiamond,D1,WCC,20240512-BenedettiDiamond-1,4fb275e0-1092-11ef-a4e2-cf60cac7793a,88.40632,1.87642,,8.6644,,,,1.11857,1.87642,0.75344,59fa8f84-694c-4bc2-b77d-5a9263a18a4b,2024-05-12,19:03:25.34,2024-05-12T12:03:25.3440000-07:00,2024-05-12T19:03:25.3440000Z,GroundBall,v3,471434,5320,12 May 2024 15:00-sandiego@sanfran,"Campagna, Michael",1000013092,Right,SAN_DON,0a395d22-fa36-4f7c-ad1e-d6a86edc49af,55.0772,-132.45646,15.5201,5.3147,-3.12128,-11.42247,1.77002,-4.83045,5.76202,,1.11792,101.63618,,,,,,,,1.87694,-81.16723,,,,,,,,0.75347,-4.28299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
5,2024-05-12,12:04:04.10,3,1,"Holzemer, Hunter",824240,Left,SAN_DON,"Christian, Jakob",814451,Right,SAN_TOR,Undefined,1,Top,1,0,0,Fastball,Sinker,InPlay,Undefined,GroundBall,FieldersChoice,1,0,,90.91957,-1.20055,3.749705,2289.505776,117.410993,10:00,5.30431,-1.91244,5.5008,-27.01127,7.74473,-12.58213,1.92792,0.55119,82.33063,-6.199591,1.51263,0.424313,97.40818,-9.500174,-22.599287,,,,,12.13308,12.13308,-22.187256,0.075998,7.51638,4.62681,1.59319,50,5.18116,-8.05565,-131.60205,-3.75486,13.04363,30.6606,-24.14483,SAN_DON,SAN_TOR,BenedettiDiamond,D1,WCC,20240512-BenedettiDiamond-1,66c60da0-1092-11ef-a4e2-cf60cac7793a,88.83173,1.79406,,8.58894,,,,1.33718,1.79406,-0.46208,59fa8f84-694c-4bc2-b77d-5a9263a18a4b,2024-05-12,19:04:04.10,2024-05-12T12:04:04.1000000-07:00,2024-05-12T19:04:04.1000000Z,GroundBall,v3,471434,5320,12 May 2024 15:00-sandiego@sanfran,"Campagna, Michael",1000013092,Right,SAN_DON,f1ba3a10-b456-4774-b022-d9ff04589b69,54.99711,-132.76117,15.3303,5.30586,-2.84207,-12.07242,1.90705,-8.54876,6.52181,180,1.33536,130.23436,,,,,,,,1.79439,-23.60681,,,,,,,,-0.46133,-54.20943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2024-05-12,12:04:47.87,4,1,"Holzemer, Hunter",824240,Left,SAN_DON,"Smith, Austin",801563,Left,SAN_TOR,Undefined,1,Top,2,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.41408,-1.729948,3.456435,2266.991452,110.366241,9:45,5.20479,-2.11522,5.3862,-29.00521,6.00492,-13.10564,1.16275,0.03632,82.64503,-7.048662,1.128872,0.425861,,,,,,,,,,,,7.55713,3.85268,1.81548,50,5.02954,-7.31266,-130.97229,-5.06232,13.10323,28.12348,-25.49392,SAN_DON,SAN_TOR,BenedettiDiamond,D1,WCC,20240512-BenedettiDiamond-1,80f479f0-1092-11ef-a4e2-cf60cac7793a,88.50871,,,7.76905,,,,,,,59fa8f84-694c-4bc2-b77d-5a9263a18a4b,2024-05-12,19:04:47.87,2024-05-12T12:04:47.8720000-07:00,2024-05-12T19:04:47.8720000Z,,v3,471434,5320,12 May 2024 15:00-sandiego@sanfran,"Campagna, Michael",1000013092,Right,SAN_DON,a945cded-bdbb-48b3-9203-f7e92fbf744f,55.11243,-132.06551,14.06174,5.20706,-4.07132,-12.74696,2.10964,-7.82201,6.55161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-05-12,12:05:03.84,4,2,"Holzemer, Hunter",824240,Left,SAN_DON,"Smith, Austin",801563,Left,SAN_TOR,Undefined,1,Top,2,1,0,Fastball,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,89.22321,-1.04809,3.758519,2461.47651,139.156988,10:45,5.26808,-2.08586,5.21958,-29.41277,6.53414,-4.71044,1.82936,1.0605,82.07454,-6.414201,2.925884,0.431521,,,,,,,,,,,,3.3315,3.88036,1.74218,50,5.14921,-8.27695,-129.2805,-3.49874,5.67041,25.51419,-25.56946,SAN_DON,SAN_TOR,BenedettiDiamond,D1,WCC,20240512-BenedettiDiamond-1,8a6a8100-1092-11ef-a4e2-cf60cac7793a,87.34781,,,7.14867,,,,,,,59fa8f84-694c-4bc2-b77d-5a9263a18a4b,2024-05-12,19:05:03.84,2024-05-12T12:05:03.8410000-07:00,2024-05-12T19:05:03.8410000Z,,v3,471434,5320,12 May 2024 15:00-sandiego@sanfran,"Campagna, Michael",1000013092,Right,SAN_DON,63fb6e2d-2c4f-4d82-b636-caa65e33ebb3,55.27876,-130.31813,12.7571,5.27035,-2.45886,-12.78473,2.08348,-8.50756,2.8352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-05-12,12:05:21.93,4,3,"Holzemer, Hunter",824240,Left,SAN_DON,"Smith, Austin",801563,Left,SAN_TOR,Undefined,1,Top,2,2,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.04118,-0.219784,3.015865,2386.764104,135.418133,10:30,5.2566,-2.22074,5.49417,-28.04265,7.80776,-6.5704,2.71384,0.05544,81.34521,-5.394981,1.847291,0.430942,80.32868,51.200894,-44.141294,5918.600189,65.10923,104.71314,-88.66103,209.88998,117.63035,-58.733756,5.145468,4.1841,4.32768,1.96133,50,5.21842,-6.51727,-129.13263,-1.50895,7.0579,27.14367,-24.87397,SAN_DON,SAN_TOR,BenedettiDiamond,D1,WCC,20240512-BenedettiDiamond-1,953828d0-1092-11ef-a4e2-cf60cac7793a,87.46529,105.66118,,7.69597,,,,1.05142,2.55898,0.0975,59fa8f84-694c-4bc2-b77d-5a9263a18a4b,2024-05-12,19:05:21.93,2024-05-12T12:05:21.9390000-07:00,2024-05-12T19:05:21.9390000Z,FlyBall,v3,471434,5320,12 May 2024 15:00-sandiego@sanfran,"Campagna, Michael",1000013092,Right,SAN_DON,eb8cbe2c-7203-4f8e-b920-56298e8331d2,55.00506,-130.18044,13.57183,5.25814,-0.54875,-12.43698,2.21817,-6.78972,3.52895,156.137665,1.05892,52.81165,-18.62019,4.91666,-0.47347,-0.16642,0.06801,-0.00948,0.00048,2.55523,91.88065,-24.32009,2.16746,-0.19564,-0.05529,0.02886,-0.00489,0.00029,0.09609,-51.38275,7.37656,-1.45289,0.13018,0.02291,-0.00902,0.00109,-5E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
9,2024-05-12,12:05:50.63,4,4,"Holzemer, Hunter",824240,Left,SAN_DON,"Smith, Austin",801563,Left,SAN_TOR,Undefined,1,Top,2,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.72329,-2.265465,5.07239,2326.76669,137.684439,10:30,5.25862,-2.13115,5.26823,-22.76371,11.50835,-9.46477,1.22407,1.85743,83.84317,-6.459581,3.402839,0.421348,,,,,,,,,,,,6.12803,6.71701,1.67341,50,5.03407,-11.31955,-132.52763,-6.11008,10.90642,28.13322,-20.21935,SAN_DON,SAN_TOR,BenedettiDiamond,D1,WCC,20240512-BenedettiDiamond-1,a64edab0-1092-11ef-a4e2-cf60cac7793a,89.45669,,,7.88012,,,,,,,59fa8f84-694c-4bc2-b77d-5a9263a18a4b,2024-05-12,19:05:50.63,2024-05-12T12:05:50.6300000-07:00,2024-05-12T19:05:50.6300000Z,,v3,471434,5320,12 May 2024 15:00-sandiego@sanfran,"Campagna, Michael",1000013092,Right,SAN_DON,e651d256-58bb-450d-aaf9-94ab0cd1cdeb,55.22968,-133.63318,14.06661,5.25857,-5.31552,-10.10968,2.12666,-11.74814,5.45321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-05-12,12:06:15.34,4,5,"Holzemer, Hunter",824240,Left,SAN_DON,"Smith, Austin",801563,Left,SAN_TOR,Undefined,1,Top,2,3,1,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.24418,-0.728095,3.789156,2216.695889,110.484161,9:45,5.171,-2.24053,5.27933,-28.12533,7.28158,-16.28843,2.14189,-0.03403,82.00584,-5.90373,0.904807,0.428268,,,,,,,,,,,,9.29252,4.1987,1.90692,50,5.08396,-7.90759,-130.66935,-2.72991,15.97459,29.00426,-24.95613,SAN_DON,SAN_TOR,BenedettiDiamond,D1,WCC,20240512-BenedettiDiamond-1,b5046b10-1092-11ef-a4e2-cf60cac7793a,88.01136,,,8.23834,,,,,,,59fa8f84-694c-4bc2-b77d-5a9263a18a4b,2024-05-12,19:06:15.34,2024-05-12T12:06:15.3440000-07:00,2024-05-12T19:06:15.3440000Z,,v3,471434,5320,12 May 2024 15:00-sandiego@sanfran,"Campagna, Michael",1000013092,Right,SAN_DON,219d5298-b41a-46b8-b9e7-c062a0164892,55.21971,-131.82287,14.50213,5.1728,-1.7374,-12.47806,2.23404,-8.5429,7.9873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
